문항번호,문제,해설,답,이미지여부,동영상여부
436,눈길 운전에 대한 설명으로 틀린 것은?<br>① 운전자의 시야 확보를 위해 앞 유리창에 있는 눈만 치우고 주행하면<br>안전하다.<br>② 풋 브레이크와 엔진브레이크를 같이 사용하여야 한다.<br>③ 스노체인을 한 상태라면 매시 30킬로미터 이하로 주행하는 것이 안전하다.<br>④ 평상시보다 안전거리를 충분히 확보하고 주행한다.,차량 모든 부분에 쌓인 눈을 치우고 주행하여야 안전하다.,①,,
437,다음 중 우천 시에 안전한 운전방법이 아닌 것은?<br>① 상황에 따라 제한 속도에서 20%~50% 정도 감속 운전한다.<br>② 길 가는 행인을 주의하는 등 전방 주시를 철저히 한다.<br>③ 앞차와 충분한 안전거리를 확보하고 주행한다.<br>④ 경음기를 자주 사용하여 주변 운전자들에게 위험을 알린다.,"우천 시에는 전방주시. 감속운전, 안전거리 확보가 중요하다.",④,,
438,"다음 중 안개 낀 도로를 주행할 때 바람직한 운전방법과 거리가 먼 것은?<br>① 뒤차에게 나의 위치를 알려주기 위해 차폭등, 미등, 전조등을 켠다.<br>② 앞 차에게 나의 위치를 알려주기 위해 반드시 상향등을 켠다.<br>③ 안전거리를 확보하고 속도를 줄인다.<br>④ 습기가 맺혀 있을 경우 와이퍼를 작동해 시야를 확보한다.",상향등은 안개 속 물 입자들로 인해 산란하기 때문에 켜지 않고 하향등 또는 안개등을 켜도<br>록 한다.,②,,
439,도로교통법상 편도 2차로 자동차전용도로에 비가 내려 노면이 젖어있는 경우<br>감속운행 속도로 맞는 것은?<br>① 매시 80킬로미터 ② 매시 90킬로미터<br>③ 매시 72킬로미터 ④ 매시 100킬로미터,도로교통법 시행규칙 제19조(자동차등의 속도) ②비·안개·눈 등으로 인한 악천후 시에는 제<br>1항에 불구하고 다음 각 호의 기준에 의하여 감속 운행하여야 한다.<br>1. 최고속도의 10분의 20을 줄인 속도로 운행하여야 하는 경우<br>가. 비가 내려 노면이 젖어있는 경우<br>나. 눈이 20밀리미터 미만 쌓인 경우,③,,
440,주행 중 벼락이 칠 때 안전한 운전 방법 2가지는?<br>① 자동차는 큰 나무 아래에 잠시 세운다.<br>② 차의 창문을 닫고 자동차 안에 그대로 있는다.<br>③ 건물 옆은 젖은 벽면을 타고 전기가 흘러오기 때문에 피해야 한다.<br>④ 벼락이 자동차에 친다면 매우 위험한 상황이니 차 밖으로 피신한다.,"큰 나무는 벼락을 맞을 가능성이 높고, 그렇게 되면 나무가 넘어지면서 사고가 발생할 가능<br>성이 높아 피하는 것이 좋으며, 설령 자동차에 벼락이 치더라도 자동차 내부가 외부보다 더<br>안전하다.","②, ③",,
441,운전 중 발생하는 현혹현상과 관련된 설명으로 가장 타당한 것은?<br>① 현혹현상은 시력이 낮은 운전자에게 주로 발생한다.<br>② 현혹현상은 고속도로에서만 발생되는 현상이다.<br>③ 주로 동일방향 차량에 의하여 발생한다.<br>④ 주행 중 잦은 현혹현상의 발생은 사고의 위험성을 증가시키는 요인이다.,현혹현상은 눈부심으로 인한 일시적인 시력상실상태로 대부분 반대 방향의 차량으로 인해<br>발생하게 되는 현상으로 어느 도로에서나 발생할 수 있으며 시력과는 크게 관련이 없다.,④,,
442,야간에 마주 오는 차의 전조등 불빛으로 인한 눈부심을 피하는 방법으로 올바른<br>것은?<br>① 전조등 불빛을 정면으로 보지 말고 자기 차로의 바로 아래쪽을 본다.<br>② 전조등 불빛을 정면으로 보지 말고 도로 우측의 가장자리 쪽을 본다.<br>③ 눈을 가늘게 뜨고 자기 차로 바로 아래쪽을 본다.<br>④ 눈을 가늘게 뜨고 좌측의 가장자리 쪽을 본다.,"대향 차량의 전조등에 의해 눈이 부실 경우에는 전조등의 불빛을 정면으로 보지 말고, 도로<br>우측의 가장자리 쪽을 보면서 운전하는 것이 바람직하다.",②,,
443,"도로교통법상 밤에 고속도로 등에서 고장으로 자동차를 운행할 수 없는 경우,<br>운전자가 조치해야 할 사항으로 적절치 않은 것은?<br>① 사방 500미터에서 식별할 수 있는 적색의 섬광신호·전기제등 또는 불꽃<br>신호를 설치해야 한다.<br>② 표지를 설치할 경우 후방에서 접근하는 자동차의 운전자가 확인할 수<br>있는 위치에 설치하여야 한다.<br>③ 고속도로 등이 아닌 다른 곳으로 옮겨 놓는 등 필요한 조치를 하여야 한다.<br>④ 안전삼각대는 고장차가 서있는 지점으로부터 200미터 후방에 반드시<br>설치해야 한다.","도로교통법 제66조, 도로교통법 시행규칙 제40조 고장자동차의 표시",④,,
444,"도로교통법령상 비사업용 승용차 운전자가 전조등, 차폭등, 미등, 번호등을 모두<br>켜야 하는 경우로 맞는 것은?<br>① 밤에 도로에서 자동차를 정차하는 경우<br>② 안개가 가득 낀 도로에서 자동차를 정차하는 경우<br>③ 주차위반으로 도로에서 견인되는 자동차의 경우<br>④ 터널 안 도로에서 자동차를 운행하는 경우","도로교통법 제37조(차와 노면전차의 등화) ①모든 차의 운전자는 다음 각 호의 어느 하나에<br>해당하는 경우에는 대통령령으로 정하는 바에 따라 전조등, 차폭등, 미등과 그 밖의 등화를<br>켜야 한다.<br>1. 밤에 도로에서 차를 운행하거나 고장이나 그 밖의 부득이한 사유로 도로에서 차를 정차<br>또는 주차하는 경우<br>2. 안개가 끼거나 비 또는 눈이 올 때에 도로에서 차를 운행하거나 고장이나 그 밖의 부득<br>이한 사유로 도로에서 차를 정차 또는 주차하는 경우<br>3. 터널 안을 운행하거나 고장 또는 그 밖의 부득이한 사유로 터널 안 도로에서 차를 정차<br>또는 주차하는 경우<br>도로교통법 시행령 제19조(밤에 도로에서 차를 운행하는 경우 등의 등화) ①차의 운전자가<br>법 제37조제1항 각 호에 따라 도로에서 차를 운행할 때 켜야 하는 등화의 종류는 다음 각<br>호의 구분에 따른다.<br>1. 자동차: 전조등, 차폭등, 미등, 번호등과 실내조명등<br>3. 견인되는 차: 미등·차폭등 및 번호등<br>②차의 운전자가 법 제37조제1항 각 호에 따라 도로에서 정차하거나 주차할 때 켜야 하는<br>등화의 종류는 다음 각 호의 구분에 따른다.<br>1. 자동차(이륜자동차는 제외한다): 미등 및 차폭등",④,,
445,고속도로에서 자동차 고장으로 운행할 수 없는 경우 적절한 조치요령으로 가장<br>올바른 것은?<br>① 비상점멸등을 작동한 후 차 안에서 가입한 보험사에 신고한다.<br>② 보닛과 트렁크를 열어 놓고 고장 난 곳을 확인한 후 구난차를 부른다.<br>③ 차에서 내린 후 차 바로 뒤에서 손을 흔들며 다른 자동차에게 도움을<br>요청한다.<br>④ 고장자동차의 이동이 가능하면 갓길로 옮겨 놓고 안전한 장소에서 도움을<br>요청한다.,"고장자동차의 이동이 가능하면 갓길로 옮겨 놓고 안전한 장소에서 도움을 요청한다.(도로교<br>통법 제66조(고장 등의 조치)내지 제67조(운전자 및 동승자의 고속도로 등에서의 준수사항),<br>동 시행규칙 제40조(고장 자동차의 표지))",④,,
446,주행 중 차량 고장에 대한 설명으로 가장 적절한 것은?<br>① 갑자기 시동이 꺼진 경우에 브레이크 성능은 평상시와 차이를 보이지<br>않는다.<br>② 갑자기 시동이 꺼진 경우에 파워핸들 장치는 평상시와 차이를 보이지<br>않는다.<br>③ 뒤따르는 차의 추돌을 방지하기 위해 고장자동차의 표지를 설치한다.<br>④ 터널 밖보다는 터널 안이 안전하기 때문에 터널 내부에 정차하는 것이<br>바람직하다.,①브레이크 성능이 떨어지기 때문에 평소보다 강하게 조작해야 한다. ②파워핸들 장치가 작<br>동되지 않을 수 있기 때문에 더 강하게 조작해야 한다. ④터널 안은 위험하기 때문에 될 수<br>있는 한 터널 밖에 정차해야 한다.,③,,
447,밤에 고속도로에서 자동차 고장으로 운행할 수 없게 되었을 때 안전삼각대와 함께<br>추가로 ( )에서 식별할 수 있는 불꽃 신호 등을 설치해야 한다. ( )에 맞는<br>것은?<br>① 사방 200미터 지점<br>② 사방 300미터 지점<br>③ 사방 400미터 지점<br>④ 사방 500미터 지점,"도로교통법 시행규칙 제40조(고장자동차의 표지)에 따라 밤에 고속도로에서는 안전삼각대와<br>함께 사방 500미터 지점에서 식별할 수 있는 적색의 섬광신호, 전기제등 또는 불꽃신호를<br>추가로 설치하여야 한다.",④,,
448,자동차 주행 중 타이어가 펑크 났을 때 가장 올바른 조치는?<br>① 한 쪽으로 급격하게 쏠리면 사고를 예방하기 위해 급제동을 한다.<br>② 핸들을 꽉 잡고 직진하면서 급제동을 삼가고 엔진 브레이크를 이용하여<br>안전한 곳에 정지한다.<br>③ 차량이 쏠리는 방향으로 핸들을 꺾는다.<br>④ 브레이크 페달이 작동하지 않기 때문에 주차 브레이크를 이용하여<br>정지한다.,"타이어가 터지면 급제동을 삼가며, 차량이 직진 주행을 하도록 하고, 엔진 브레이크를 이용<br>하여 안전한 곳에 정지하도록 한다.",②,,
449,"다음 중 고속도로에서 교통사고가 발생한 경우, 2차 사고를 예방하기 위한 적절한<br>조치요령으로 가장 올바른 것은?<br>① 차에서 내린 후 차 뒤에서 손을 흔들며 다른 자동차에게 주의를 환기시킨다.<br>② 차에서 내린 후 차 앞에서 손을 흔들며 다른 자동차에게 주의를 환기시킨다.<br>③ 신속하게 고장자동차의 표지를 차량 후방에 설치하고, 안전한 장소로<br>피한 후 관계기관에 신고한다.<br>④ 비상점멸등을 작동하고 자동차 안에서 관계기관에 신고한다.","도로교통법 시행규칙 제40조 자동차가 고속 주행하는 고속도로 특성상 차안이나 차 바로<br>앞·뒤차에 있는 것은 2차사고 발생 때 사망사고로 이어지기 때문에 신속하게 고장자동차의<br>표지를 후방에 설치하고, 안전한 장소로 피한 후 관계기관(경찰관서, 소방관서, 한국도로공사<br>콜센터 등)에 신고한다.",③,,
450,"다음 중 고속도로 공사구간에 관한 설명으로 틀린 것은?<br>① 차로를 차단하는 공사의 경우 정체가 발생할 수 있어 주의해야 한다.<br>② 화물차의 경우 순간 졸음, 전방 주시태만은 대형사고로 이어질 수 있다.<br>③ 이동공사, 고정공사 등 다양한 유형의 공사가 진행된다.<br>④ 제한속도는 시속 80킬로미터로만 제한되어 있다.","공사구간의 경우 구간별로 시속 80킬로미터와 시속 60킬로미터로 제한되어 있어 속도제한<br>표지를 인지하고 충분히 감속하여 운행하여야 한다.(국토부 도로공사장 교통관리지침, 교통<br>고속도로 공사장 교통관리기준)",④,,
451,"운전자의 하이패스 단말기 고장으로 하이패스가 인식되지 않은 경우, 올바른<br>조치방법 2가지는?<br>① 비상점멸등을 작동하고 일시정지한 후 일반차로의 통행권을 발권한다.<br>② 목적지 요금소에서 정산 담당자에게 진입한 장소를 설명하고 정산한다.<br>③ 목적지 요금소의 하이패스 차로를 통과하면 자동 정산된다.<br>④ 목적지 요금소에서 하이패스 단말기의 카드를 분리한 후 정산담당자에게<br>그 카드로 요금을 정산할 수 있다.",목적지 요금소에서 정산담당자에게 진입한 장소를 설명하고 정산한다.,"②, ④",,
452,다음 중 터널 안 화재가 발생했을 때 운전자의 행동으로 가장 올바른 것은?<br>① 도난 방지를 위해 자동차문을 잠그고 터널 밖으로 대피한다.<br>② 화재로 인해 터널 안은 연기로 가득차기 때문에 차안에 대기한다.<br>③ 차량 엔진 시동을 끄고 차량 이동을 위해 열쇠는 꽂아둔 채 신속하게<br>내려 대피한다.<br>④ 유턴해서 출구 반대방향으로 되돌아간다.,"터널 안 화재는 대피가 최우선이므로 위험을 과소평가하여 차량 안에 머무르는 것은 위험한<br>행동이며, 엔진을 끈 후 키를 꽂아둔 채 신속하게 하차하고 대피해야 한다.",③,,
453,"다음 중 터널을 통과할 때 운전자의 안전수칙으로 잘못된 것은?<br>① 터널 진입 전, 명순응에 대비하여 색안경을 벗고 밤에 준하는 등화를 켠다.<br>② 터널 안 차선이 백색실선인 경우, 차로를 변경하지 않고 터널을 통과한다.<br>③ 앞차와의 안전거리를 유지하면서 급제동에 대비한다.<br>④ 터널 진입 전, 입구에 설치된 도로안내정보를 확인한다.","암순응(밝은 곳에서 어두운 곳으로 들어갈 때 처음에는 보이지 않던 것이 시간이 지나 보이<br>기 시작하는 현상) 및 명순응(어두운 곳에서 밝은 곳으로 나왔을 때 점차 밝은 빛에 적응하는<br>현상)으로 인한 사고예방을 위해 터널을 통행할 시에는 평소보다 10~20% 감속하고 전조등,<br>차폭등, 미등 등의 등화를 반드시 켜야 한다. 또, 결빙과 2차사고 등을 예방하기 위해 일반도<br>로 보다 더 안전거리를 확보하고 급제동에 대한 대비도 필요하다.",①,,
454,다음은 자동차 주행 중 긴급 상황에서 제동과 관련한 설명이다. 맞는 것은?<br>① 수막현상이 발생할 때는 브레이크의 제동력이 평소보다 높아진다.<br>② 비상 시 충격 흡수 방호벽을 활용하는 것은 대형 사고를 예방하는 방법<br>중 하나이다.<br>③ 노면에 습기가 있을 때 급브레이크를 밟으면 항상 직진 방향으로<br>미끄러진다.<br>④ ABS를 장착한 차량은 제동 거리가 절반 이상 줄어든다.,"① 제동력이 떨어진다. ③ 편제동으로 인해 옆으로 미끄러질 수 있다. ④ ABS는 빗길 원심<br>력 감소, 일정 속도에서 제동 거리가 어느 정도 감소되나 절반 이상 줄어들지는 않는다.",②,,
455,지진이 발생할 경우 안전한 대처 요령 2가지는?<br>① 지진이 발생하면 신속하게 주행하여 지진 지역을 벗어난다.<br>② 차간거리를 충분히 확보한 후 도로의 우측에 정차한다.<br>③ 차를 두고 대피할 필요가 있을 때는 차의 시동을 끈다.<br>④ 지진 발생과 관계없이 계속 주행한다.,"지진이 발생할 경우 차를 운전하는 것이 불가능하다. 충분히 주의를 하면서 교차로를 피해서<br>도로 우측에 정차시키고, 라디오의 정보를 잘 듣고 부근에 경찰관이 있으면 지시에 따라서<br>행동한다. 차를 두고 대피할 경우 차의 시동은 끄고 열쇠를 꽂은 채 대피한다.","②, ③",,
456,교통사고로 인한 화재와 관련해 운전자의 행동으로 맞는 2가지는?<br>① 구조대의 활동이 본격적으로 시작되면 반드시 같이 구조 활동을 해야<br>한다.<br>② 긴장감 해소를 위해 담배를 피워도 무방하다.<br>③ 위험물질 수송차량과 충돌한 경우엔 사고 지점에서 빠져나와야 한다.<br>④ 화재가 발생했다면 부상자를 적절하게 구호해야 한다.,① 구조대의 활동이 본격적으로 시작되면 구조 활동에 참여하지 말고 현장에서 물러나야 한<br>다. ② 유류 및 가스 유출의 위험이 있기 때문에 담배를 피우면 안 된다.,"③, ④",,
457,자동차 운전 중 터널 내에서 화재가 났을 경우 조치해야 할 행동으로 맞는 2가지는?<br>① 차에서 내려 이동할 경우 자동차의 시동을 끄고 하차한다.<br>② 소화기로 불을 끌 경우 바람을 등지고 서야 한다.<br>③ 터널 밖으로 이동이 어려운 경우 차량은 최대한 중앙선 쪽으로 정차시킨다.<br>④ 차를 두고 대피할 경우는 자동차 열쇠를 뽑아 가지고 이동한다.,① 폭발 등의 위험에 대비해 시동을 꺼야 한다. ③ 측벽 쪽으로 정차시켜야 응급 차량 등이<br>소통할 수 있다. ④ 자동차 열쇠를 꽂아 두어야만 다른 상황 발생 시 조치 가능하다.,"①, ②",,
458,자동차가 미끄러지는 현상에 관한 설명으로 맞는 2가지는?<br>① 고속 주행 중 급제동 시에 주로 발생하기 때문에 과속이 주된 원인이다.<br>② 빗길에서는 저속 운행 시에 주로 발생한다.<br>③ 미끄러지는 현상에 의한 노면 흔적은 사고 원인 추정에 별 도움이 되질<br>않는다.<br>④ ABS 장착 차량도 미끄러지는 현상이 발생할 수 있다.,② 고속 운행 시에 주로 발생한다. ③ 미끄러짐 현상에 의한 노면 흔적은 사고 처리에 중요<br>한 자료가 된다.,"①, ④",,
459,자동차가 차로를 이탈할 가능성이 가장 큰 경우 2가지는?<br>① 오르막길에서 주행할 때<br>② 커브 길에서 급히 핸들을 조작할 때<br>③ 내리막길에서 주행할 때<br>④ 노면이 미끄러울 때,자동차가 차로를 이탈하는 경우는 커브 길에서 급히 핸들을 조작할 때에 주로 발생한다. 또<br>한 타이어 트레드가 닳았거나 타이어 공기압이 너무 높거나 노면이 미끄러우면 노면과 타이<br>어의 마찰력이 떨어져 차가 도로를 이탈하거나 중앙선을 침범할 수 있다.,"②, ④",,
460,고속도로 주행 중 엔진 룸(보닛)에서 연기가 나고 화재가 발생하였을 때 가장<br>바람직한 조치 방법 2가지는?<br>① 발견 즉시 그 자리에 정차한다.<br>② 갓길로 이동한 후 시동을 끄고 재빨리 차에서 내려 대피한다.<br>③ 초기 진화가 가능한 경우에는 차량에 비치된 소화기를 사용하여 불을<br>끈다.<br>④ 초기 진화에 실패했을 때에는 119 등에 신고한 후 차량 바로 옆에서<br>기다린다.,고속도로 주행 중 차량에 화재가 발생할 때 조치 요령 1. 차량을 갓길로 이동한다. 2. 시동<br>을 끄고 차량에서 재빨리 내린다. 3. 초기 화재 진화가 가능하면 차량에 비치된 소화기를 사<br>용하여 불을 끈다. 4. 초기 화재 진화에 실패했을 때는 차량이 폭발할 수 있으므로 멀리 대피<br>한다. 5. 119 등에 차량 화재 신고를 한다.,"②, ③",,
461,다음과 같은 공사구간을 통과 시 차로가 감소가 시작되는 구간은?<br>① 주의구간 ② 완화구간<br>③ 작업구간 ④ 종결구간,도로 공사장은 주의-완화-작업-종결구간으로 구성되어 있다.<br>그 중 완화구간은 차로수가 감소하는 구간으로 차선변경이 필요한 구간이다. 안전한 통행을<br>위해서는 사전 차선변경 및 서행이 필수적이다.,②,,
462,야간 운전시 안전한 운전 방법으로 가장 올바른 것은?<br>① 틴팅(선팅)을 진하게 하면 야간에도 편리하다.<br>② 검정색 선글라스를 착용하고 운전한다.<br>③ 더 멀리 볼 수 있도록 안개등을 켠다.<br>④ 시야가 나쁜 커브길을 돌 때에는 경음기를 울리는 것이 도움이 될 수도<br>있다.,"틴팅이 짙으면 야간 운전 시 잘 보이지 않고, 눈이 나쁜 사람에게 안경과 렌즈는 상황에 따라<br>다르다. 안개등은 넓게 비추는 등화로 멀리 비추는 용도가 아니다.",④,,
463,야간 운전 중 나타나는 증발현상에 대한 설명 중 옳은 것은?<br>① 증발현상이 나타날 때 즉시 차량의 전조등을 끄면 증발현상이 사라진다.<br>② 증발현상은 마주 오는 두 차량이 모두 상향 전조등일 때 발생하는 경우가<br>많다.<br>③ 야간에 혼잡한 시내도로를 주행할 때 발생하는 경우가 많다.<br>④ 야간에 터널을 진입하게 되면 밝은 불빛으로 잠시 안 보이는 현상을<br>말한다.,증발현상은 마주 오는 두 차량 모두 상향 전조등일 때 발생한다.,②,,
464,야간 운전 시 운전자의 ‘각성저하주행’에 대한 설명으로 옳은 것은?<br>① 평소보다 인지능력이 향상된다.<br>② 안구동작이 상대적으로 활발해진다.<br>③ 시내 혼잡한 도로를 주행할 때 발생하는 경우가 많다.<br>④ 단조로운 시계에 익숙해져 일종의 감각 마비 상태에 빠지는 것을 말한다.,야간운전과 각성저하<br>야간운전시계는 전조등 불빛이 비치는 범위 내에 한정되어 그 시계는 주간에 비해 노면과<br>앞차의 후미등 불빛만이 보이게 되므로 매우 단조로운 시계가 된다. 그래서 무의식중에 단조<br>로운 시계에 익숙해져 운전자는 일종의 감각마비 상태에 빠져 들어가게 된다. 그렇게 되면<br>필연적으로 안구동작이 활발치 못해 자극에 대한 반응도 둔해지게 된다. 이러한 현상이 고조<br>되면 근육이나 뇌파의 반응도 저하되어 차차 졸음이 오는 상태에 이르게 된다. 이와 같이 각<br>성도가 저하된 상태에서 주행하는 것을 이른바 ‘각성저하주행’이라고 한다.,④,,
465,"해가 지기 시작하면서 어두워질 때 운전자의 조치로 거리가 먼 것은?<br>① 차폭등, 미등을 켠다.<br>② 주간 주행속도보다 감속 운행한다.<br>③ 석양이 지면 눈이 어둠에 적응하는 시간이 부족해 주의하여야 한다.<br>④ 주간보다 시야확보가 용의하여 운전하기 편하다.<br>",,④,,
466,주행 중 발생하는 자동차 화재의 원인과 거리가 먼 것은?<br>① 전기 합선 ② 엔진 과열<br>③ 진한 틴팅(선팅) ④ 배기가스의 배기열,진한 틴팅과 자동차 화재는 관련이 없다.,③,,
467,자동차 화재를 예방하기 위한 방법으로 가장 올바른 것은?<br>① 차량 내부에 앰프 설치를 위해 배선장치를 임의로 조작한다.<br>② 겨울철 주유 시 정전기가 발생하지 않도록 주의한다.<br>③ LPG차량은 비상시를 대비하여 일회용 부탄가스를 차량에 싣고 다닌다.<br>④ 일회용 라이터는 여름철 차 안에 두어도 괜찮다.,"배선은 임의로 조작하면 안 되며, 차량 안에 일회용 부탄가스를 두는 것은 위험하다. 일회용<br>라이터에는 폭발방지장치가 없어 여름철 차 안에 두면 위험하다.",②,,
468,"앞 차량의 급제동으로 인해 추돌할 위험이 있는 경우, 그 대처 방법으로 가장<br>올바른 것은?<br>① 충돌직전까지 포기하지 말고, 브레이크 페달을 밟아 감속한다.<br>② 앞 차와의 추돌을 피하기 위해 핸들을 급하게 좌측으로 꺾어 중앙선을<br>넘어간다.<br>③ 피해를 최소화하기 위해 눈을 감는다.<br>④ 와이퍼와 상향등을 함께 조작한다.","앞 차와의 추돌을 예방하기 위해 안전거리를 충분히 확보하고, 위험에 대비하여 언제든지 제<br>동할 수 있도록 준비한다. 부득이하게 추돌하게 되는 경우에 대비하여 브레이크 페달을 힘껏<br>밟아 감속하여 피해를 최소화한다. 핸들은 급하게 좌측으로 꺾어 중앙선을 넘어가면 반대편<br>에서 주행하는 차량과의 사고가 발생할 수 있다. 또한 눈을 감는 것과 와이퍼, 상향등을 조작<br>하는 것은 추돌의 피해를 감소시키는 것과 상관없다.",①,,
469,다음 중 고속으로 주행하는 차량의 타이어 이상으로 발생하는 현상 2가지는?<br>① 베이퍼록 현상<br>② 스탠딩웨이브 현상<br>③ 페이드 현상<br>④ 하이드로플레이닝 현상,"고속으로 주행하는 차량의 타이어 공기압이 부족하면 스탠딩웨이브 현상이 발생하며, 고속으<br>로 주행하는 차량의 타이어가 마모된 상태에서 물 고인 곳을 지나가면 하이드로플레이닝 현<br>상이 발생한다. 베이퍼록 현상과 페이드 현상은 제동장치의 이상으로 나타나는 현상이다.","②, ④",,
470,다음 중 안전띠 착용 방법으로 올바른 것은?<br>① 집게 등으로 고정하여 편리한 대로 맨다.<br>② 좌석의 등받이를 조절한 후 느슨하게 매지 않는다.<br>③ 잠금장치가 찰칵하는 소리가 나지 않도록 살짝 맨다.<br>④ 3점식 안전띠의 경우는 목 부분이 지나도록 맨다.,"골반 윗부분은 충격 시 장 파열 등 운전자의 위험성이 커지므로 골반 부분을 감듯이 매야<br>하며, 3점식 안전띠의 경우는 목 부분이 지나도록 매서는 안 된다. 잠금장치가 ‘찰칵’하는<br>소리가 나도록 해서 완전히 잠겼는지를 확인해야 한다.",②,,
471,교통사고 시 머리와 목 부상을 최소화하기 위해 출발 전에 조절해야 하는 것은?<br>① 좌석의 전후 조절 ② 등받이 각도 조절<br>③ 머리받침대 높이 조절 ④ 좌석의 높낮이 조절,운전자들의 경우 좌석조정에 있어 머리받침대에 대해서는 조절하는 경우가 많지 않다. 따라<br>서 교통사고로 충격 시 머리를 고정시켜줄 수 있는 머리받침대도 자신의 머리에 맞도록 조절<br>이 필요하다.,③,,
472,터널 안 주행방법으로 맞는 것은?<br>① 좌측으로 앞지르기를 해야 한다.<br>② 전조등을 켜고 앞지르기를 해야 한다<br>③ 법정 최고 속도의 한도 내에서 앞지르기를 해야 한다.<br>④ 앞르기를 해서는 안 된다.,"도로교통법 제22조, 교차로, 다리 위, 터널 안 등은 앞지르기가 금지된 장소이므로 앞지르기<br>를 할 수 없다.",④,,
473,"다음은 차로 변경 시 신호에 대한 설명이다. 가장 알맞은 것은?<br>① 신호를 하지 않고 차로를 변경해도 다른 교통에 방해되지 않았다면 교통<br>법규 위반으로 볼 수 없다.<br>② 차로 변경이 끝난 후 상당 기간 신호를 계속하여 다른 교통에 의사를<br>알려야 한다.<br>③ 차로 변경 시에만 신호를 하면 되고, 차로 변경 중일 때에는 신호를<br>중지해야 한다.<br>④ 차로 변경이 끝날 때까지 신호를 하며, 차로 변경이 끝난 후에는 바로<br>신호를 중지해야 한다.","신호를 하지 않거나 금지 장소에서의 차로 변경은 방법 및 장소 위반이며, 차로 변경이 끝날<br>때까지 신호를 하고 끝난 후에는 바로 신호를 중지해야 한다. (도로교통법 시행령 별표 2)",④,,
474,앞지르기를 할 수 있는 경우로 맞는 것은?<br>① 앞차가 다른 차를 앞지르고 있을 경우<br>② 앞차가 위험 방지를 위하여 정지 또는 서행하고 있는 경우<br>③ 앞차의 좌측에 다른 차가 앞차와 나란히 진행하고 있는 경우<br>④ 앞차가 저속으로 진행하면서 다른 차와 안전거리를 확보하고 있을 경우,"모든 차의 운전자는 앞차의 좌측에 다른 차가 앞차와 나란히 가고 있는 경우, 앞차가 다른<br>차를 앞지르고 있거나 앞지르고자 하는 경우에는 앞차를 앞지르기하지 못한다. (도로교통법<br>제21조, 제22조)",④,,
475,다음은 다른 차를 앞지르기하려는 자동차의 속도에 대한 설명이다. 맞는 것은?<br>① 다른 차를 앞지르기하는 경우에는 속도의 제한이 없다.<br>② 해당 도로의 법정 최고 속도의 100분의 50을 더한 속도까지는 가능하다.<br>③ 운전자의 운전 능력에 따라 제한 없이 가능하다.<br>④ 해당 도로의 최고 속도 이내에서만 앞지르기가 가능하다.,다른 차를 앞지르기하려는 자동차의 속도는 해당 도로의 최고 속도 이내에서만 앞지르기가<br>가능하다. (도로교통법 제21조),④,,
476,다음 중 고속도로에서 일반도로로 진출하고자 할 때 가장 안전한 행동은?<br>① 신속히 진출하기 위해 가속한다.<br>② 옆 차로에 주행 차량이 없을 때에는 여러 차로를 한 번에 가로질러 출구로<br>나간다.<br>③ 미리 방향지시등을 켜고 감속하여 진출한다.<br>④ 진출 차량이 많아 진출 차로로 진입할 공간이 없을 경우 우회하여<br>앞지르기한다.,"고속도로에서 출구로 진출하고자 할 때는 미리 방향지시등을 켜서 감속 시 뒤차의 추돌을<br>예방한다. 출구 앞에서는 감속해야 하며 본선 주행 차량이 없을 경우라도 한 번에 가로지르<br>면 안 되고, 천천히 한 개 차로씩 차로 변경을 해서 진출한다.",③,,
477,다음 중 자동차 운전자가 위험을 느끼고 브레이크 페달을 밟아 실제로 정지할<br>때까지의 ‘정지거리’가 가장 길어질 수 있는 경우 2가지는?<br>① 차량의 중량이 상대적으로 가벼울 때<br>② 차량의 속도가 상대적으로 빠를 때<br>③ 타이어를 새로 구입하여 장착한 직후<br>④ 과로 및 음주 운전 시,"운전자가 위험을 느끼고, 브레이크 페달을 밟아서 실제로 자동차가 멈추게 되는 소위 자동차<br>의 정지거리는 과로 및 음주 운전 시, 차량의 중량이 무겁거나 속도가 빠를수록, 타이어의<br>마모상태가 심할수록 길어진다.","②, ④",,
478,자동차 승차 인원에 관한 설명 중 맞는 2가지는?<br>① 고속도로 운행 승합차는 승차정원 이내를 초과할 수 없다.<br>② 자동차등록증에 명시된 승차 정원은 운전자를 제외한 인원이다.<br>③ 출발지를 관할하는 경찰서장의 허가를 받은 때에는 승차 정원을 초과하여<br>운행할 수 있다.<br>④ 승차 정원 초과 시 도착지 관할 경찰서장의 허가를 받아야 한다.,"모든 차의 운전자는 승차 인원, 적재 중량 및 적재 용량에 관하여 운행상의 안전 기준을 넘<br>어서 승차시키거나 적재하고 운전하여서는 아니 된다(다만, 출발지를 관할하는 경찰서장의<br>허가를 받은 때에는 그러하지 아니하다.)<br>(도로교통법 제39조)","①, ③",,
